lat,lon,satelite,data
3.0864,-61.334202,METOP-B,2022-04-15 01:07:00
-11.7862,-56.331501,METOP-B,2022-04-15 01:07:00
-11.7845,-56.323898,METOP-B,2022-04-15 01:07:00
-23.4513,-59.436401,METOP-B,2022-04-15 01:07:00
-23.461,-59.434502,METOP-B,2022-04-15 01:07:00
-23.4583,-59.417999,METOP-B,2022-04-15 01:07:00
-20.75785,-48.87432,TERRA_M-M,2022-04-15 01:52:00
-23.50753,-59.45235,TERRA_M-M,2022-04-15 01:52:00
-23.51386,-59.44706,TERRA_M-M,2022-04-15 01:52:00
-17.07841,-50.01173,TERRA_M-M,2022-04-15 01:54:00
-17.08746,-50.01029,TERRA_M-M,2022-04-15 01:54:00
-18.38035,-58.99187,TERRA_M-M,2022-04-15 01:54:00
-15.7972,-71.893204,METOP-C,2022-04-15 02:00:00
-17.7659,-60.714699,METOP-C,2022-04-15 02:00:00
-23.503799,-59.450699,METOP-C,2022-04-15 02:00:00
-23.501101,-59.439899,METOP-C,2022-04-15 02:00:00
-23.5135,-59.4478,METOP-C,2022-04-15 02:00:00
-23.510799,-59.437099,METOP-C,2022-04-15 02:00:00
-23.507999,-59.4263,METOP-C,2022-04-15 02:00:00
-7.47652,-34.84258,NPP-375D,2022-04-15 03:21:00
-8.07174,-34.97778,NPP-375D,2022-04-15 03:23:00
-8.39122,-35.02947,NPP-375D,2022-04-15 03:23:00
-8.65693,-35.9943,NPP-375D,2022-04-15 03:23:00
-11.5374,-38.17825,NPP-375D,2022-04-15 03:23:00
-11.53819,-38.17383,NPP-375D,2022-04-15 03:23:00
-8.53888,-36.354,NPP-375D,2022-04-15 03:23:00
-16.40543,-40.91288,NPP-375D,2022-04-15 03:25:00
-16.95787,-39.99346,NPP-375D,2022-04-15 03:25:00
-17.737,-39.52714,NPP-375D,2022-04-15 03:25:00
-17.73786,-39.52271,NPP-375D,2022-04-15 03:25:00
-15.79137,-71.85628,TERRA_M-M,2022-04-15 03:34:00
-3.85549,-38.606,NOAA-20,2022-04-15 04:12:00
-5.72633,-44.93768,NOAA-20,2022-04-15 04:14:00
-6.18077,-44.55416,NOAA-20,2022-04-15 04:14:00
-6.31798,-46.25375,NOAA-20,2022-04-15 04:14:00
-6.31866,-46.2496,NOAA-20,2022-04-15 04:14:00
-6.32158,-46.25435,NOAA-20,2022-04-15 04:14:00
-6.32227,-46.25018,NOAA-20,2022-04-15 04:14:00
-5.98271,-42.37618,NOAA-20,2022-04-15 04:14:00
-8.15254,-44.59346,NOAA-20,2022-04-15 04:14:00
-8.15588,-44.594,NOAA-20,2022-04-15 04:14:00
-8.15645,-44.59044,NOAA-20,2022-04-15 04:14:00
-8.5135,-39.25995,NOAA-20,2022-04-15 04:14:00
-8.51735,-39.26053,NOAA-20,2022-04-15 04:14:00
-11.6214,-55.3866,NOAA-20,2022-04-15 04:17:00
-11.6223,-55.3821,NOAA-20,2022-04-15 04:17:00
-15.37246,-39.13951,NOAA-20,2022-04-15 04:17:00
-16.40495,-40.91154,NOAA-20,2022-04-15 04:17:00
-16.40878,-40.91239,NOAA-20,2022-04-15 04:17:00
-16.95572,-39.9903,NOAA-20,2022-04-15 04:17:00
-17.07924,-50.00857,NOAA-20,2022-04-15 04:17:00
-17.08307,-50.00929,NOAA-20,2022-04-15 04:17:00
-17.18309,-45.89846,NOAA-20,2022-04-15 04:17:00
-17.30148,-44.92616,NOAA-20,2022-04-15 04:17:00
-17.66438,-46.68601,NOAA-20,2022-04-15 04:17:00
-17.73783,-39.5237,NOAA-20,2022-04-15 04:17:00
-18.12372,-44.1389,NOAA-20,2022-04-15 04:17:00
-20.75455,-48.87631,NOAA-20,2022-04-15 04:17:00
-20.75524,-48.87223,NOAA-20,2022-04-15 04:17:00
-20.75638,-48.87578,NOAA-20,2022-04-15 04:17:00
-20.99369,-51.79211,NOAA-20,2022-04-15 04:17:00
-23.98358,-48.91812,NOAA-20,2022-04-15 04:17:00
-17.66117,-51.81783,NOAA-20,2022-04-15 04:19:00
-18.22806,-48.12953,NOAA-20,2022-04-15 04:19:00
-18.25926,-55.38203,NOAA-20,2022-04-15 04:19:00
-20.31122,-45.58318,NOAA-20,2022-04-15 04:19:00
-20.76447,-46.7697,NOAA-20,2022-04-15 04:19:00
-23.50244,-59.42543,NOAA-20,2022-04-15 04:19:00
-23.50255,-59.45174,NOAA-20,2022-04-15 04:19:00
-23.50271,-59.45366,NOAA-20,2022-04-15 04:19:00
-23.50274,-59.42746,NOAA-20,2022-04-15 04:19:00
-23.5036,-59.42054,NOAA-20,2022-04-15 04:19:00
-23.50372,-59.44682,NOAA-20,2022-04-15 04:19:00
-23.50391,-59.44876,NOAA-20,2022-04-15 04:19:00
-23.50394,-59.42257,NOAA-20,2022-04-15 04:19:00
-23.50489,-59.4419,NOAA-20,2022-04-15 04:19:00
-23.50511,-59.44386,NOAA-20,2022-04-15 04:19:00
-23.50606,-59.43699,NOAA-20,2022-04-15 04:19:00
-23.50631,-59.43896,NOAA-20,2022-04-15 04:19:00
-23.50722,-59.43209,NOAA-20,2022-04-15 04:19:00
-23.50751,-59.43407,NOAA-20,2022-04-15 04:19:00
-24.24217,-50.7412,NOAA-20,2022-04-15 04:19:00
-24.24351,-50.7393,NOAA-20,2022-04-15 04:19:00
-27.08934,-50.51725,NOAA-20,2022-04-15 04:19:00
-27.6115,-48.6623,NOAA-20,2022-04-15 04:19:00
-23.49798,-59.42086,NOAA-20,2022-04-15 04:19:00
-23.5001,-59.43524,NOAA-20,2022-04-15 04:19:00
-23.50035,-59.43723,NOAA-20,2022-04-15 04:19:00
-23.50126,-59.43033,NOAA-20,2022-04-15 04:19:00
-23.50154,-59.43235,NOAA-20,2022-04-15 04:19:00
-23.69105,-60.61769,NOAA-20,2022-04-15 04:19:00
-23.69249,-60.61197,NOAA-20,2022-04-15 04:19:00
-27.23161,-61.58733,NOAA-20,2022-04-15 04:19:00
-27.23367,-61.59085,NOAA-20,2022-04-15 04:19:00
-2.57924,-54.70969,NPP-375D,2022-04-15 05:01:00
-2.74951,-54.59513,NPP-375D,2022-04-15 05:01:00
-9.86544,-57.80565,NPP-375D,2022-04-15 05:04:00
-7.73217,-55.19871,NPP-375D,2022-04-15 05:04:00
-6.31968,-46.25525,NPP-375D,2022-04-15 05:04:00
-6.32016,-46.25169,NPP-375D,2022-04-15 05:04:00
-6.32029,-46.25427,NPP-375D,2022-04-15 05:04:00
-6.3208,-46.2507,NPP-375D,2022-04-15 05:04:00
-8.15114,-44.59412,NPP-375D,2022-04-15 05:04:00
-8.15315,-44.59349,NPP-375D,2022-04-15 05:04:00
-8.15741,-44.59492,NPP-375D,2022-04-15 05:04:00
-8.15802,-44.59013,NPP-375D,2022-04-15 05:04:00
-15.39236,-62.31753,NPP-375D,2022-04-15 05:06:00
-11.97533,-57.65802,NPP-375D,2022-04-15 05:06:00
-11.9759,-57.65447,NPP-375D,2022-04-15 05:06:00
-12.47447,-57.20168,NPP-375D,2022-04-15 05:06:00
-12.94964,-56.93059,NPP-375D,2022-04-15 05:06:00
-13.26036,-56.84932,NPP-375D,2022-04-15 05:06:00
-11.83101,-56.32323,NPP-375D,2022-04-15 05:06:00
-11.16387,-54.27936,NPP-375D,2022-04-15 05:06:00
-11.16798,-54.27595,NPP-375D,2022-04-15 05:06:00
-11.62056,-55.38411,NPP-375D,2022-04-15 05:06:00
-11.62396,-55.38464,NPP-375D,2022-04-15 05:06:00
-11.62452,-55.38095,NPP-375D,2022-04-15 05:06:00
-11.63244,-55.37462,NPP-375D,2022-04-15 05:06:00
-11.63584,-55.37515,NPP-375D,2022-04-15 05:06:00
-16.26576,-54.84282,NPP-375D,2022-04-15 05:06:00
-17.08381,-50.01016,NPP-375D,2022-04-15 05:06:00
-15.77692,-71.87318,NPP-375D,2022-04-15 05:08:00
-15.78384,-71.87469,NPP-375D,2022-04-15 05:08:00
-15.77908,-71.86371,NPP-375D,2022-04-15 05:08:00
-15.77938,-71.86945,NPP-375D,2022-04-15 05:08:00
-15.7815,-71.85983,NPP-375D,2022-04-15 05:08:00
-15.78636,-71.87068,NPP-375D,2022-04-15 05:08:00
-15.78671,-71.86205,NPP-375D,2022-04-15 05:08:00
-16.33684,-71.45544,NPP-375D,2022-04-15 05:08:00
-21.86122,-63.85125,NPP-375D,2022-04-15 05:08:00
-21.86503,-63.85208,NPP-375D,2022-04-15 05:08:00
-16.11775,-62.02134,NPP-375D,2022-04-15 05:08:00
-16.11796,-62.01867,NPP-375D,2022-04-15 05:08:00
-16.11857,-62.01657,NPP-375D,2022-04-15 05:08:00
-16.12172,-62.01941,NPP-375D,2022-04-15 05:08:00
-16.12257,-62.01466,NPP-375D,2022-04-15 05:08:00
-16.12547,-62.02016,NPP-375D,2022-04-15 05:08:00
-16.13089,-62.05525,NPP-375D,2022-04-15 05:08:00
-16.785,-60.6695,NPP-375D,2022-04-15 05:08:00
-17.39764,-60.93483,NPP-375D,2022-04-15 05:08:00
-17.42289,-60.87226,NPP-375D,2022-04-15 05:08:00
-17.5238,-60.09145,NPP-375D,2022-04-15 05:08:00
-17.69018,-60.70391,NPP-375D,2022-04-15 05:08:00
-17.70562,-61.14161,NPP-375D,2022-04-15 05:08:00
-17.70634,-61.13746,NPP-375D,2022-04-15 05:08:00
-17.70694,-61.19759,NPP-375D,2022-04-15 05:08:00
-17.70916,-61.14227,NPP-375D,2022-04-15 05:08:00
-17.76068,-60.71568,NPP-375D,2022-04-15 05:08:00
-17.76136,-60.71169,NPP-375D,2022-04-15 05:08:00
-17.76415,-60.71632,NPP-375D,2022-04-15 05:08:00
-17.76483,-60.71233,NPP-375D,2022-04-15 05:08:00
-17.76763,-60.71696,NPP-375D,2022-04-15 05:08:00
-17.76831,-60.71297,NPP-375D,2022-04-15 05:08:00
-17.7711,-60.7176,NPP-375D,2022-04-15 05:08:00
-16.11707,-60.75252,NPP-375D,2022-04-15 05:08:00
-16.11921,-60.75655,NPP-375D,2022-04-15 05:08:00
-16.11992,-60.75244,NPP-375D,2022-04-15 05:08:00
-16.12063,-60.74835,NPP-375D,2022-04-15 05:08:00
-16.12204,-60.76133,NPP-375D,2022-04-15 05:08:00
-16.12275,-60.7572,NPP-375D,2022-04-15 05:08:00
-16.39182,-60.94416,NPP-375D,2022-04-15 05:08:00
-16.39538,-60.9448,NPP-375D,2022-04-15 05:08:00
-22.8517,-61.00793,NPP-375D,2022-04-15 05:08:00
-22.85507,-61.00858,NPP-375D,2022-04-15 05:08:00
-23.69507,-60.61697,NPP-375D,2022-04-15 05:08:00
-23.69569,-60.61316,NPP-375D,2022-04-15 05:08:00
-23.69631,-60.60934,NPP-375D,2022-04-15 05:08:00
-23.69903,-60.61379,NPP-375D,2022-04-15 05:08:00
-21.31149,-59.84328,NPP-375D,2022-04-15 05:08:00
-18.3707,-58.99495,NPP-375D,2022-04-15 05:08:00
-18.37128,-58.99129,NPP-375D,2022-04-15 05:08:00
-18.37187,-58.98764,NPP-375D,2022-04-15 05:08:00
-18.37345,-58.99918,NPP-375D,2022-04-15 05:08:00
-22.74208,-59.18207,NPP-375D,2022-04-15 05:08:00
-22.746,-59.17891,NPP-375D,2022-04-15 05:08:00
-23.50145,-59.42284,NPP-375D,2022-04-15 05:08:00
-23.50362,-59.43101,NPP-375D,2022-04-15 05:08:00
-23.50403,-59.45052,NPP-375D,2022-04-15 05:08:00
-23.5042,-59.42723,NPP-375D,2022-04-15 05:08:00
-23.50461,-59.44674,NPP-375D,2022-04-15 05:08:00
-23.50479,-59.42345,NPP-375D,2022-04-15 05:08:00
-23.5052,-59.44296,NPP-375D,2022-04-15 05:08:00
-23.50537,-59.41967,NPP-375D,2022-04-15 05:08:00
-23.50578,-59.43918,NPP-375D,2022-04-15 05:08:00
-23.50637,-59.4354,NPP-375D,2022-04-15 05:08:00
-23.50695,-59.43162,NPP-375D,2022-04-15 05:08:00
-23.50736,-59.45113,NPP-375D,2022-04-15 05:08:00
-23.50754,-59.42784,NPP-375D,2022-04-15 05:08:00
-23.50795,-59.44734,NPP-375D,2022-04-15 05:08:00
-21.07248,-55.74704,NPP-375D,2022-04-15 05:08:00
-21.34149,-55.78217,NPP-375D,2022-04-15 05:08:00
-19.9805,-52.27005,NPP-375D,2022-04-15 05:08:00
-18.43354,-55.55461,NPP-375D,2022-04-15 05:08:00
-18.26253,-55.38086,NPP-375D,2022-04-15 05:08:00
-17.654,-55.11284,NPP-375D,2022-04-15 05:08:00
-16.45078,-60.84628,NPP-375D,2022-04-15 05:08:00
-17.4222,-60.87633,NPP-375D,2022-04-15 05:08:00
-18.37403,-58.99553,NPP-375D,2022-04-15 05:08:00
-18.37462,-58.99187,NPP-375D,2022-04-15 05:08:00
-18.3752,-58.98822,NPP-375D,2022-04-15 05:08:00
-21.3109,-59.84701,NPP-375D,2022-04-15 05:08:00
-28.46695,-65.22999,NPP-375D,2022-04-15 05:10:00
-28.46808,-65.22673,NPP-375D,2022-04-15 05:10:00
-27.2354,-61.58862,NPP-375D,2022-04-15 05:10:00
-25.96278,-61.45874,NPP-375D,2022-04-15 05:10:00
-28.25987,-58.14483,NPP-375D,2022-04-15 05:10:00
4.77454,-69.87376,NOAA-20,2022-04-15 05:53:00
-15.78507,-71.85758,NOAA-20,2022-04-15 05:57:00
-16.25514,-71.68545,NOAA-20,2022-04-15 05:57:00
-16.32363,-71.4512,NOAA-20,2022-04-15 05:57:00
-16.32693,-71.45184,NOAA-20,2022-04-15 05:57:00
-16.32811,-71.4445,NOAA-20,2022-04-15 05:57:00
-16.34073,-71.45063,NOAA-20,2022-04-15 05:57:00
-16.34132,-71.44697,NOAA-20,2022-04-15 05:57:00
-16.34404,-71.45123,NOAA-20,2022-04-15 05:57:00
-16.12213,-62.01868,NOAA-20,2022-04-15 05:57:00
-16.12249,-62.01566,NOAA-20,2022-04-15 05:57:00
-16.13301,-62.0576,NOAA-20,2022-04-15 05:57:00
-16.13338,-62.0545,NOAA-20,2022-04-15 05:57:00
-17.42253,-60.87489,NOAA-20,2022-04-15 05:57:00
-17.70564,-61.19779,NOAA-20,2022-04-15 05:57:00
-17.7062,-61.14128,NOAA-20,2022-04-15 05:57:00
-17.70661,-61.13754,NOAA-20,2022-04-15 05:57:00
-17.75754,-60.71611,NOAA-20,2022-04-15 05:57:00
-17.75796,-60.71212,NOAA-20,2022-04-15 05:57:00
-17.76321,-60.71677,NOAA-20,2022-04-15 05:57:00
-17.76363,-60.71277,NOAA-20,2022-04-15 05:57:00
-17.76888,-60.71741,NOAA-20,2022-04-15 05:57:00
-17.76931,-60.71342,NOAA-20,2022-04-15 05:57:00
-16.11702,-60.7537,NOAA-20,2022-04-15 05:57:00
-16.11744,-60.74989,NOAA-20,2022-04-15 05:57:00
-16.12175,-60.7618,NOAA-20,2022-04-15 05:57:00
-16.12215,-60.75811,NOAA-20,2022-04-15 05:57:00
-16.12298,-60.75057,NOAA-20,2022-04-15 05:57:00
-16.44748,-60.84809,NOAA-20,2022-04-15 05:57:00
-16.45299,-60.84891,NOAA-20,2022-04-15 05:57:00
-18.36944,-58.99471,NOAA-20,2022-04-15 05:57:00
-18.36991,-58.98943,NOAA-20,2022-04-15 05:57:00
-18.37237,-59.00313,NOAA-20,2022-04-15 05:57:00
-18.37288,-58.99788,NOAA-20,2022-04-15 05:57:00
-18.37339,-58.99262,NOAA-20,2022-04-15 05:57:00
-18.3739,-58.98732,NOAA-20,2022-04-15 05:57:00
-18.37532,-59.00063,NOAA-20,2022-04-15 05:57:00
-18.37579,-58.99537,NOAA-20,2022-04-15 05:57:00
-18.37627,-58.99008,NOAA-20,2022-04-15 05:57:00
-23.36113,-67.73216,NOAA-20,2022-04-15 05:59:00
-27.23256,-61.58539,NOAA-20,2022-04-15 05:59:00
-25.96335,-61.45772,NOAA-20,2022-04-15 05:59:00
-23.69663,-60.6156,NOAA-20,2022-04-15 05:59:00
-23.69704,-60.61065,NOAA-20,2022-04-15 05:59:00
-23.50191,-59.44184,NOAA-20,2022-04-15 05:59:00
-23.50197,-59.44722,NOAA-20,2022-04-15 05:59:00
-23.50233,-59.43599,NOAA-20,2022-04-15 05:59:00
-23.50243,-59.44137,NOAA-20,2022-04-15 05:59:00
-23.50276,-59.43011,NOAA-20,2022-04-15 05:59:00
-23.50289,-59.43551,NOAA-20,2022-04-15 05:59:00
-23.50318,-59.42424,NOAA-20,2022-04-15 05:59:00
-23.50335,-59.42965,NOAA-20,2022-04-15 05:59:00
-23.50381,-59.42378,NOAA-20,2022-04-15 05:59:00
-23.508,-59.44829,NOAA-20,2022-04-15 05:59:00
-23.50843,-59.44241,NOAA-20,2022-04-15 05:59:00
-23.50885,-59.43655,NOAA-20,2022-04-15 05:59:00
-23.50928,-59.43066,NOAA-20,2022-04-15 05:59:00
4.85552,-70.23455,NPP-375D,2022-04-15 06:42:00
4.85602,-70.23751,NPP-375D,2022-04-15 06:42:00
4.86109,-70.23668,NPP-375D,2022-04-15 06:42:00
-15.78697,-71.85602,NPP-375D,2022-04-15 06:48:00
-15.78767,-71.8493,NPP-375D,2022-04-15 06:48:00
-16.2719,-71.54037,NPP-375D,2022-04-15 06:48:00
-16.32335,-71.44232,NPP-375D,2022-04-15 06:48:00
-16.32597,-71.44865,NPP-375D,2022-04-15 06:48:00
-16.32635,-71.44498,NPP-375D,2022-04-15 06:48:00
-16.32676,-71.44111,NPP-375D,2022-04-15 06:48:00
-16.32983,-71.44131,NPP-375D,2022-04-15 06:48:00
-16.33163,-71.45545,NPP-375D,2022-04-15 06:48:00
-16.33204,-71.45161,NPP-375D,2022-04-15 06:48:00
-5.63878,-35.42443,TERRA_M-T,2022-04-15 12:42:00
-11.40464,-39.94058,TERRA_M-T,2022-04-15 12:44:00
-11.6608,-45.14595,TERRA_M-T,2022-04-15 12:44:00
-12.81365,-44.47559,TERRA_M-T,2022-04-15 12:44:00
-13.46674,-40.06145,TERRA_M-T,2022-04-15 12:44:00
-6.94567,-34.96721,TERRA_M-T,2022-04-15 12:44:00
-12.73455,-55.18454,TERRA_M-T,2022-04-15 14:25:00
-13.29677,-53.04371,TERRA_M-T,2022-04-15 14:25:00
-13.41772,-52.81159,TERRA_M-T,2022-04-15 14:25:00
-15.87435,-63.18143,TERRA_M-T,2022-04-15 14:25:00
-16.11975,-60.75325,TERRA_M-T,2022-04-15 14:25:00
-16.12236,-62.0201,TERRA_M-T,2022-04-15 14:25:00
-17.40013,-63.88501,TERRA_M-T,2022-04-15 14:25:00
-17.64064,-67.21922,TERRA_M-T,2022-04-15 14:25:00
-17.69428,-60.69964,TERRA_M-T,2022-04-15 14:25:00
-17.70634,-61.13666,TERRA_M-T,2022-04-15 14:25:00
-17.70846,-61.14288,TERRA_M-T,2022-04-15 14:25:00
-17.76371,-60.71516,TERRA_M-T,2022-04-15 14:25:00
-17.76379,-60.7093,TERRA_M-T,2022-04-15 14:25:00
-19.0098,-63.12049,TERRA_M-T,2022-04-15 14:25:00
-22.73491,-59.18402,TERRA_M-T,2022-04-15 14:27:00
-22.73683,-59.1665,TERRA_M-T,2022-04-15 14:27:00
-27.23346,-61.58316,TERRA_M-T,2022-04-15 14:27:00
-27.85575,-61.62369,TERRA_M-T,2022-04-15 14:27:00
-16.34,-71.45,GOES-16,2022-04-15 14:40:00
-16.34,-71.45,GOES-16,2022-04-15 14:50:00
-11.64887,-37.52724,NOAA-20,2022-04-15 15:07:00
-10.74916,-37.68406,NOAA-20,2022-04-15 15:09:00
-16.34,-71.45,GOES-16,2022-04-15 15:10:00
-16.34,-71.45,GOES-16,2022-04-15 15:20:00
-14.3,-58.96,GOES-16,2022-04-15 15:30:00
-16.34,-71.45,GOES-16,2022-04-15 15:30:00
-14.3,-58.96,GOES-16,2022-04-15 15:40:00
5.24,-68.32,GOES-16,2022-04-15 15:50:00
-10.7815,-37.69546,NPP-375,2022-04-15 15:58:00
-10.79107,-40.11988,NPP-375,2022-04-15 15:58:00
-12.27325,-38.08376,NPP-375,2022-04-15 15:58:00
-12.27666,-38.08325,NPP-375,2022-04-15 15:58:00
-12.55566,-39.11733,NPP-375,2022-04-15 15:58:00
-12.5567,-39.11685,NPP-375,2022-04-15 15:58:00
-12.57949,-38.05602,NPP-375,2022-04-15 15:58:00
-12.66084,-39.2186,NPP-375,2022-04-15 15:58:00
-13.8934,-39.15567,NPP-375,2022-04-15 15:58:00
-13.93914,-39.14059,NPP-375,2022-04-15 15:58:00
-13.98919,-39.20274,NPP-375,2022-04-15 15:58:00
-14.23553,-39.13493,NPP-375,2022-04-15 15:58:00
-17.65828,-46.41689,NPP-375,2022-04-15 15:58:00
-11.59954,-39.21105,NPP-375,2022-04-15 15:58:00
-11.59961,-39.21062,NPP-375,2022-04-15 15:58:00
-12.20469,-41.2013,NPP-375,2022-04-15 15:58:00
-12.20627,-41.19846,NPP-375,2022-04-15 15:58:00
-17.68279,-46.41896,NPP-375,2022-04-15 15:58:00
-17.68786,-43.35338,NPP-375,2022-04-15 15:58:00
-14.3,-58.96,GOES-16,2022-04-15 16:00:00
-14.3,-58.98,GOES-16,2022-04-15 16:00:00
-14.28,-58.96,GOES-16,2022-04-15 16:00:00
-10.24225,-46.88809,NPP-375,2022-04-15 16:01:00
-10.2427,-46.8917,NPP-375,2022-04-15 16:01:00
-10.24836,-46.89103,NPP-375,2022-04-15 16:01:00
-11.18531,-50.03703,NPP-375,2022-04-15 16:01:00
-5.09063,-44.1248,NPP-375,2022-04-15 16:01:00
-5.09098,-44.1211,NPP-375,2022-04-15 16:01:00
-5.09156,-44.12524,NPP-375,2022-04-15 16:01:00
-5.09497,-44.12423,NPP-375,2022-04-15 16:01:00
-5.56363,-47.07844,NPP-375,2022-04-15 16:01:00
-7.09099,-47.15715,NPP-375,2022-04-15 16:01:00
-7.09145,-47.16053,NPP-375,2022-04-15 16:01:00
-7.09699,-47.16009,NPP-375,2022-04-15 16:01:00
-7.22578,-46.98857,NPP-375,2022-04-15 16:01:00
-10.07463,-37.72929,NPP-375,2022-04-15 16:01:00
-10.19822,-37.11486,NPP-375,2022-04-15 16:01:00
-10.6679,-40.32108,NPP-375,2022-04-15 16:01:00
-5.38974,-43.1067,NPP-375,2022-04-15 16:01:00
-5.39075,-43.11378,NPP-375,2022-04-15 16:01:00
-5.39481,-43.11318,NPP-375,2022-04-15 16:01:00
-7.02402,-37.28282,NPP-375,2022-04-15 16:01:00
-8.07409,-34.97579,NPP-375,2022-04-15 16:01:00
-8.6923,-36.40987,NPP-375,2022-04-15 16:01:00
-9.63712,-48.25341,NPP-375,2022-04-15 16:01:00
-9.64989,-48.25623,NPP-375,2022-04-15 16:01:00
-8.72176,-35.6724,NPP-375,2022-04-15 16:01:00
-9.04918,-38.23478,NPP-375,2022-04-15 16:01:00
-9.06953,-36.93589,NPP-375,2022-04-15 16:01:00
-9.18808,-35.31188,NPP-375,2022-04-15 16:01:00
-9.37919,-37.21949,NPP-375,2022-04-15 16:01:00
-9.39801,-36.87272,NPP-375,2022-04-15 16:01:00
-9.44273,-36.5703,NPP-375,2022-04-15 16:01:00
-9.44606,-36.56978,NPP-375,2022-04-15 16:01:00
-9.97694,-37.69343,NPP-375,2022-04-15 16:01:00
-14.3,-58.96,GOES-16,2022-04-15 16:10:00
5.11,-68.87,GOES-16,2022-04-15 16:10:00
5.13,-68.82,GOES-16,2022-04-15 16:10:00
5.19,-68.1,GOES-16,2022-04-15 16:10:00
5.19,-68.85,GOES-16,2022-04-15 16:10:00
5.2,-68.83,GOES-16,2022-04-15 16:10:00
5.2,-68.85,GOES-16,2022-04-15 16:10:00
5.28,-67.88,GOES-16,2022-04-15 16:10:00
5.13,-68.87,GOES-16,2022-04-15 16:20:00
